#METABOLOMICS WORKBENCH araskind_20170619_181205 DATATRACK_ID:1045 STUDY_ID:ST000741 ANALYSIS_ID:AN001156 PROJECT_ID:PR000535
VERSION             	1
CREATED_ON             	July 3, 2017, 1:46 pm
#PROJECT
PR:PROJECT_TITLE                 	Metabolite-phenotype link in X-linked Adrenoleukodystrophy
PR:PROJECT_TYPE                  	MS analysis
PR:PROJECT_SUMMARY               	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts
PR:INSTITUTE                     	Henry Ford Health System
PR:DEPARTMENT                    	Neurology
PR:LABORATORY                    	Singh Lab
PR:LAST_NAME                     	Singh
PR:FIRST_NAME                    	Jaspreet
PR:ADDRESS                       	Detroit, MI
PR:EMAIL                         	jsingh2@hfhs.org
PR:PHONE                         	313-916-7725
#STUDY
ST:STUDY_TITLE                   	Metabolite-phenotype link in X-linked Adrenoleukodystrophy (fibroblast cell
ST:STUDY_TITLE                   	culture)
ST:STUDY_TYPE                    	MS analysis
ST:STUDY_SUMMARY                 	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts.
ST:STUDY_SUMMARY                 	Fibroblasts cultured in DMEM with 15%FBS and antibiotic (pen/strep) in 100mm
ST:STUDY_SUMMARY                 	petridishes (1million/dish). After 24h cultures supplemented with fresh media
ST:STUDY_SUMMARY                 	(DMEM+15%FBS+antibiotic) for 3hr
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@med.umich.edu
ST:PHONE                         	(734) 232-8175
ST:NUM_GROUPS                    	4
ST:TOTAL_SUBJECTS                	2
#SUBJECT
SU:SUBJECT_TYPE                  	Human
SU:SUBJECT_SPECIES               	Homo sapiens
SU:TAXONOMY_ID                   	9606
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016570	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016571	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016572	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016573	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016574	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016575	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016576	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016577	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016578	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016579	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016580	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016581	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016582	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016583	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016584	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016585	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016586	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016587	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU9999996	S00017166	subject type:POOLED	
#COLLECTION
CO:COLLECTION_SUMMARY             	-
#TREATMENT
TR:TREATMENT_SUMMARY              	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY             	-
SP:SAMPLEPREP_PROTOCOL_FILENAME   	A003 - Untargeted Metabolomics.pdf
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	Reversed phase
CH:INSTRUMENT_NAME               	Agilent
CH:COLUMN_NAME                   	Waters Acquity HSS T3 (50 x 2.1mm, 1.8um)
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:ANALYSIS_PROTOCOL_FILE        	A003 - Untargeted Metabolomics.pdf
#MS
MS:MS_COMMENTS                   	-
MS:INSTRUMENT_NAME               	Agilent 6530 QTOF
MS:INSTRUMENT_TYPE               	QTOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	POSITIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS         	peak area
MS_METABOLITE_DATA_START
Samples	S00016570	S00016571	S00016572	S00016573	S00016574	S00016575	S00016576	S00016577	S00016578	S00016579	S00016580	S00016581	S00016582	S00016583	S00016584	S00016585	S00016586	S00016587
GAMMA-LINOLENIC ACID (CAS# 506-26-3); (M+NA)+	37033		22373	63395	61999	7148	11836	21875	19302		10351	53713	6791	27485	11852	22170	41590	10520
GDPMANNOSE (CAS# ); (M+H)+		2479			3586	2622				6126		3616		1354	4865			
GDPMANNOSE (CAS# ); (M+NA)+					2099					1020			2901	2057				
GIBBERELLIC ACID [ISTD] (CAS# 77-06-5); (2M+NA)+														1464				
GIBBERELLIC ACID [ISTD] (CAS# 77-06-5); (M+NA)+	140890	132984	111582	140374	131049	110581	132802	125238	122896	137124	125762	140255	149712	190576	122756	155434	106653	120691
GLUCOSAMINATE (CAS# 3646-68-2); (M+H)+		1218													1464		1454	2344
GLUCOSAMINE 6-PHOSPHATE (CAS# 3616-42-0); (M+H)+	8045	5525	3663				2119					1597	2009					
GLUCOSE (CAS# 50-99-7); (2M+NA)+[-H2O]	4708						39307	6781			8059	8637				6664		
GLUCOSE (CAS# 50-99-7); (M+NA)+	106615	71303	99126	69393	98541	61936	331657	314364	303154	168949	328239	265993	273936	171869	263653		82065	197269
GLUTAMATE (CAS# 56-86-0); (M+H)+	4290510	3817550	4031289		3559021				3924050								4171377	4130776
GLUTAMATE (CAS# 56-86-0); (M+H)+[-H2O]	2994520	3021052	3048622	3469758	2991984	2771249	2572919	2624215	3062815	2502511	2490755	2509284	2940877	2832526	2906739	2395752	2746661	2869424
GLUTAMINE (CAS# 56-85-9); (M+NA)+		100718				81753	140707	141246	144295			109404	135179			81642		
GLUTARATE (CAS# 110-94-1); (M+NA)+				3797	3382			4195										
GLUTATHIONE (CAS# 27025-41-8); (M+H)+	9320334	8942590	9604090	6807364	4742931	6046585	5621963	5213739	4663463	6294461	7580469	7459175	6957153	7778479	8203404	8022557	6852382	6799456
GLUTATHIONE (CAS# 27025-41-8); (M+H2)+2	14200000	14200000	15700000	13000000	9239662	10600000	9657752	9063916	8569482	9997338	11900000	12300000	12200000	13100000	14200000	13000000	12700000	12700000
GLYCERALDEHYDE (CAS# 367-47-5); (2M+H)+[-H2O]			15499		14456													
GLYCINE (CAS# 56-40-6); (M+H)+						5255	6688	8268							6080	4151		
GLYCOCHENODEOXYCHOLATE (CAS# 640-79-9); (M+H)+[-H2O]														1038				
GLYCOCHENODEOXYCHOLATE (CAS# 640-79-9); (M+NA)+	10561	13232	10907		5306		9597		12927	8208	11173		6538		12900	10404		
GLYCOCHOLATE (CAS# 475-31-0); (M+NA)+	4638	259852	219234	255190	186597	318562	297745	204782	286070	213598	266438	284929	214898	284801	213652	392268	249349	295868
GLYCOLITHOCHOLATE (CAS# 474-74-8 ); (M+NA)+	6656					2973					1312							
GLYCOLITHOCHOLATE (CAS# 474-74-8 ); (M+NA)+[-H2O]												2217	6876	17785				
GUANINE (CAS# 73-40-5); (M+H)+	474463	413360	390862	346844	306540	243048	245974	260740		368783	308890	290975	326671	357798	315791	244569	221825	
GUANOSINE (CAS# 118-00-3); (M+H)+	1053002	414172	361139	295523	313603	191450	288749	219663	283946	639233	584284	420400	542570	204363	318686	342685	214601	200840
GUANOSINE (CAS# 118-00-3); (M+NA)+									19155								18224	
GUANOSINE 5'-DIPHOSPHO-BETA-L-FUCOSE (CAS# 0); (M+H)+	4484	3741		4104	4485	2871	4782	3798	3252		2724	1931	4331	1865	3367	3604	4215	3731
GUANOSINE 5'-PHOSPHATE (CAS# 85-32-5); (2M+NA)+[-H2O]					1010													
GUANOSINE 5'-PHOSPHATE (CAS# 85-32-5); (M+H)+	2919			8636	8715	3700			10354			6591		9449				
HOMOSERINE (CAS# 672-15-1); (M+H)+	401888	398845	394711	483259	428787		330438	338273	427576	308104	312505	298375	390912	92408	378752	302721	367357	389461
HOMOSERINE (CAS# 672-15-1); (M+NA)+	6966		3547						8150	6818	8021	8097				7739		
HOMOVANILLATE (CAS# 306-08-1); (M+H)+	14703						5878		10265			10701	7880		6944		9405	9545
HYPOXANTHINE (CAS# 68-94-0); (M+NA)+												2106	31075					
INDOLE (CAS# 120-72-9); (2M+NA)+		1569																
INDOLE-3-ACETALDEHYDE (CAS# 2591-98-2); (M+H)+	70204	120435	128775	71610	61053	55688	94005	84146	89902	49830	40351	37591	96778	130749	103574	97652	95790	102519
INOSINE (CAS# 58-63-9); (M+H)+	1415120		784738	646467	664707	463455	57794	10605	517339	720470	857588	661900	1083664	505880	608837	782218	545116	448742
INOSINE (CAS# 58-63-9); (M+NA)+	391483	173817	293232	375095	398914	421511	222833	172728	259513	214440	416839	369450	454994		285628	258347	341352	296824
ISOLEUCINE (CAS# 73-32-5); (M+H)+	34900000	36900000	35300000	35000000	31600000	25800000	29300000	26800000	28700000	29500000	28700000	28400000	35000000	32700000	27000000	26600000	32000000	32400000
ISOLEUCINE (CAS# 73-32-5); (M+NA)+	182351	172912			182504	173322	189096		187850		172167		190679	151045	9542			187965
JASMONIC ACID [ISTD] (CAS# 77026-92-7); (M+H)+	269289	237675		308020	247094	241463		274577	228365	263575	250546	298497	275370	355382	288717	309414	217446	253846
JASMONIC ACID [ISTD] (CAS# 77026-92-7); (M+NA)+	1271707	1154838	1066498	1460315	1210106	1089439	1291058	1249238	1206459	1270769	1222009	1377917	1367821	1670787	1312757	1478875	1015194	1168042
KYNURENINE (CAS# 343-65-7); (M+H)+	708261	802959	595908	337433	265966	200910	713329	792422	587475	1199766	1065215	815935	92390	97928	86727	425547	333642	323031
KYNURENINE (CAS# 343-65-7); (M+NA)+	14561	7865	12022	10095	4310	6574	17461	17355	13806	27617	21651	17502		5584			9171	8950
L-ALLOTHREONINE (CAS# 28954-12-3); (M+H)+	401888	398845	394711	483259	428787		330438	338273	427576	308104	312505	299961	390912	92408	374074	302721	367357	389461
L-ALLOTHREONINE (CAS# 28954-12-3); (M+H)+[-H2O]	205556		316881	345973				279123	325294	291114	300513			311570	209628	279186		312094
L-ARGININE (CAS# 74-79-3); (M+NA)+	3772			4430	5975	3472	6569	7047			5761	5443	5393	4447	6726	3343		4816
L-ARGININE-(GUANIDINEIMINO-15N2) [ISTD] (CAS# ); (M+H)+	28438	35217	39956	54737	46302	52381	31515	53999	66947		47222	56930	57804	48961	25348	44022	90405	62372
L-CARNITINE (CAS# 541-15-1); (M+H)+	1131513	1159931	1149819	911857	780769	679991	1126430	1240711	1316373	730778	728051	687199	470556	386757	446291	1116688	1226549	1280953
L-HISTIDINE (CAS# 71-00-1); (M+H)+	54810		61966	54084			45031		46539	48891			38144	47522				
L-HISTIDINE (CAS# 71-00-1); (M+NA)+		3955					2589		2589								2032	
L-ORNITHINE (CAS# 70-26-8); (M+H)+								2754			2816							
L-TRYPTOPHAN-15N2 [ISTD] (CAS# ); (M+H)+	1023618	1101239	953319	1242041	1105841	915236	1118544	1091305	1029597	1131220	1108540	1122212	1273456	1457715	1107633	1347266	991853	1147843
L-[15N]ANTHRANILIC ACID [ISTD] (CAS# ); (M+H)+														1415130		1345417		
LACTOSE (CAS# 63-42-3); (M+K)+		13067	12151					14618	17934	17587	15601	19116			47582	2834		
LACTOSE (CAS# 63-42-3); (M+NA)+	3626	1753	4513		6908		39307	6781	8621		8059	8637	27910		20476	6664	3493	6840
LANOSTEROL (CAS# 79-63-0); (M+NA)+		3653																
LAUROYLCARNITINE (CAS# 25518-54-1); (M+H)+	10005	9089	7022	6742	5030	4289	3695	5355	4824	5096	5765	5732	4335	5348	3893	7269	3801	3894
LAUROYLCARNITINE (CAS# 25518-54-1); (M+NA)+				2479							3095		1498		1623			
LEUCINE (CAS# 328-39-2); (M+H)+	34900000	37200000	35400000	35000000	31600000	25800000	29300000	26800000	29200000	29500000	28900000	28400000	35000000	32900000	27400000	26600000	31900000	32600000
LEUCINE (CAS# 328-39-2); (M+NA)+	182351	172912			182504	173322	189096		187850		172167		190679	151045	9542			187965
LEUKOTRIENE B4 (CAS# 71160-24-2); (M+H)+	2470	10170		33552	3052		4099	2752	80545		9937		28369			6240		
LEUKOTRIENE B4 (CAS# 71160-24-2); (M+H)+[-H2O]													1011					
LEUKOTRIENE B4 (CAS# 71160-24-2); (M+NA)+			1485															
LINOLEATE (CAS# 60-33-3); (M+NA)+		1781																
LITHOCHOLIC ACID (CAS# 434-13-9); (M+NA)+								15917								16642		
LOPERAMIDE (CAS# 34552-83-5); (M+H)+																3020		
LUMICHROME (CAS# 1086-80-2); (M+H)+	23415	22295	12649								14847							
LUMICHROME (CAS# 1086-80-2); (M+NA)+	120923	106594	78582	46311	28146	25460	26173	23195	21298	71692	78432	69082	79180	78883	57108	33481	21107	22452
LYSINE (CAS# 56-87-1); (M+H)+	131021	120498		154241	146622	119397			77010	61708	68782	60987	123808		111916	51915		
LYSINE (CAS# 56-87-1); (M+NA)+													7299			2994		
M-HYDROXYMANDELIC ACID (CAS# 17119-15-2); (M+NA)+[-H2O]								1311										
MALATE (CAS# 636-61-3); (M+NA)+	8208	6879			6212	3866	8271	4019		10559		10208		2374		1523		
MALEAMATE (CAS# 557-24-4); (M+H)+	20282	38581	8474	14619	39374	38943	3117	4373					22597				6495	6521
MALTOSE (CAS# 69-79-4); (M+NA)+	3685	1753	4513		6866		39307	6781	8621		8059	8637	27910		20476	6664	4426	7918
MANNOSE-6-PHOSPHATE (CAS# 3672-15-9); (M+NA)+				1817		1127												
MELIBIOSE (CAS# 585-99-9); (M+K)+		13067	12151					14618	17934	17587	15601	19116			47582	2834		
MELIBIOSE (CAS# 585-99-9); (M+NA)+	4708	1753	4513		6866		39307	6781	8621		8059	8637	20852		20476	6664	4426	7918
MENAQUINONE (CAS# 11032-49-8); (M+H)+																1842		
METHIONINE (CAS# 63-68-3); (M+H)+	7473447	7653896	7590589	6937580	6369410	5162308	5333129	5723145	5859764	5868067	6259922	5988413	6472745	6643274	6497305	4802631	4740906	5083400
METHYL BETA-D-GALACTOSIDE (CAS# 1824-94-8); (M+NA)+	5212	6211	9389	16450	17671	12176		27616		4682	3535	7301				6475	1851	6345
METHYL JASMONATE (CAS# 1211-29-6); (M+NA)+	101750	151906	139606	115458	135080	119710	153233	143813	134691	91039	118796	98513	46619	159632	138626	140765	127948	132140
MEVALONIC ACID (CAS# 674-26-0); (M+NA)+					9825	4835												
MEVALONIC ACID (CAS# 674-26-0); (M+NA)+[-H2O]														1360				
MONO-METHYL GLUTARATE (CAS# 1501-27-5); (M+NA)+	61467	55176			36887	32150				57119	57749	71776			53708			59968
MYO-INOSITOL (CAS# 87-89-8); (M+NA)+	106615	71303	99126	69393	98541	61936	331657	314364	303154	168949	328239	265993	273936	171869	263653		82065	197269
N(PAI)-METHYL-L-HISTIDINE (CAS# 332-80-9); (M+H)+		3926				3399		4176	6259	3840		3648	2495	3156	3842	2336	5084	4762
N-ACETYL-D-GLUCOSAMINE (CAS# 7512-17-6); (M+H)+		1774			5027													
N-ACETYL-D-MANNOSAMINE (CAS# 3615-17-6); (M+H)+		1774			3835													
N-ACETYL-DL-METHIONINE (CAS# 1115-47-5); (M+H)+	6601	9104	7575	4150	3331		1949	2110		5673	5389		4907	5372		8071	6804	5469
N-ACETYL-DL-METHIONINE (CAS# 1115-47-5); (M+NA)+	44891	51373	41511	21909	17826	15209	20452	23481	18728	33307	33210	28567	27197	30561	21752	47794	35222	30994
N-ACETYL-DL-SERINE (CAS# 97-14-3); (M+H)+	4297391	3810848	3344941		3588372				3924050	747483	790538	524113		616646	694925	833626	719209	4158112
N-ACETYL-DL-SERINE (CAS# 97-14-3); (M+H)+[-H2O]	2946037	3017361	2995932	3462768	2994657	2820206	2575011	2697840	3120835	2496155	2500635	2460313	2931954	2762625	2974278	2398253	2698913	2881654
N-ACETYL-DL-SERINE (CAS# 97-14-3); (M+NA)+	67117	53871		49025	65234	44433	75034	79374	77018		88853	80750	81908		78761	59815	53860	65216
N-ACETYL-L-ALANINE (CAS# 97-69-8); (M+NA)+				2374		2451		3099				4378			1781	3191		3372
N-ACETYL-L-LEUCINE (CAS# 1188-21-2); (M+NA)+	2344	3151			2461		1418	3637			2447	2454		1591			2348	1506
N-ACETYL-L-PHENYLALANINE (CAS# 2018-61-3); (M+H)+		2466																
N-ACETYL-L-PHENYLALANINE (CAS# 2018-61-3); (M+NA)+				1522	2106		5192	4523	3333		4424	5581				2557		1726
N-ACETYLGALACTOSAMINE (CAS# 1811-31-0); (M+H)+		1774			5027													
N-ACETYLNEURAMINATE (CAS# 131-48-6); (M+H)+	44108	25110	50577	39967	36544	23581	215079	194924	235272	44917	79476	67774	55684	44239	76093	46159	55519	76960
N-ACETYLNEURAMINATE (CAS# 131-48-6); (M+NA)+	3623	1195	4096				9272			6197	10286	6626	9466					8493
N-ALPHA-ACETYL-L-LYSINE (CAS# 1946-82-3); (M+H)+		3840				1555	12744	8916			5129							
N-CYCLOHEXYLFORMAMIDE (CAS# 766-93-8); (M+H)+	1820	3995				1661			1676	2867		5895	6364	2913		3209		
N-CYCLOHEXYLFORMAMIDE (CAS# 766-93-8); (M+NA)+	20141	18299	41832	19731		21453	42203	28637	17362	16774	21597	14996	22569	21221	25024	23223	38077	23389
N-METHYL-D-ASPARTIC ACID (CAS# 6384-92-5); (M+H)+	4285005	3815079	4039945		3565460				3924050								3889579	4136452
N-METHYL-D-ASPARTIC ACID (CAS# 6384-92-5); (M+NA)+	62463	54299		54121	65234	44433	75034	79374	77018		88853	80750	88589		78761	59815	53860	65216
N-METHYL-L-GLUTAMATE (CAS# 6753-62-4); (M+H)+[-H2O]	10564	24659	8711	4127	5122	6533	8459	25697	9713	6962	6679	9365	16966	10180		5137	9354	6107
N-METHYLNICOTINATE (CAS# 535-83-1); (M+H)+		26586	40049	43073			30682		42431		14292			34998				41063
N-OLEOYLGLYCINE (CAS# 2601-90-3); (M+H)+								4736							2350		7225	
NAD (CAS# 53-84-9); (M+2H)+2	332690	367319	384689	530597	470307	469088	505814	482143	474484	312566	394711	389074	375722	368507	389993	473802	497038	492215
NAD (CAS# 53-84-9); (M+H)+	1324265	1419643	1272194	1440657	1292862	1249775	1321854	1365848	1246896	1710731	1419488	1516997	1414184	1580312	1325036	1681934	1337532	1353690
NAD (CAS# 53-84-9); (M+NA)+	20047	20701	27958	26479	28929	29906	41766	41214	33019	31038	30734	33221	24264	22035	28434	35047	26505	22399
NICOTINAMIDE (CAS# 98-92-0); (M+H)+					544529	498269	345985	338502	346930			287016		280043	252310			
NICOTINAMIDE MONONUCLEOTIDE (CAS# 1094-61-7); (M+H)+							10761	9872	15136				30240			13919	3450	14787
NICOTINATE (CAS# 59-67-6); (M+H)+	656073	473379	515796	337898	287284		636248	607746	734022	484956	532405	537842	665188	557345	588770	498611	420588	553720
NONANOATE (CAS# 112-05-0); (M+NA)+		5923																
NORADRENALINE (CAS# 51-41-2); (M+H)+	122308	97977	120636	117888	118328	94953	171800	181694	165909	122180	161258	145566	139092	109023	136109	108804	124377	145503
NORADRENALINE (CAS# 51-41-2); (M+H)+[-H2O]				26940		23300												28457
NORLEUCINE (CAS# 327-57-1); (M+H)+	34900000	37200000	35400000	35000000	31600000	25800000	29300000	26800000	28700000	29500000	28900000	28400000	35000000	32900000	27400000	26600000	31900000	32600000
NORMETANEPHRINE (CAS# 0); (M+H)+[-H2O]	26900000	28900000	26100000	23500000	21400000	17000000	23800000	25700000	23900000	22200000	22300000	21100000	25300000	25100000	23900000	23400000	20900000	21500000
NORVALINE (CAS# 6600-40-4); (M+H)+	5280767	5240591	5211652	4746906	3368606	2658825	5307277	5251789	5383002	4037160	4149834	4135418	4615452	4222910	4603416	4685595	3651026	3995546
NORVALINE (CAS# 6600-40-4); M+[-CO2H]	3185333	3127173	3085064	2838933	2503292	2080606	2961512	3008413	3176640	2189363	2383313	2427020	2639883	2488752	2502277	2596447	2665952	2904787
O-ACETYLCARNITINE (CAS# 461-77-8); (M+H)+	3144290	3340244	2794556	2387488	2136250	1815497	1735137	1660538	1428688	1830553	1847462	1882784	1410128	1856145	1350001	2181542	1606532	1506225
O-PHOSPHO-DL-SERINE (CAS# 17885-08-4); (2M+H)+	1425				1264			1558	1999									
O-PHOSPHO-DL-SERINE (CAS# 17885-08-4); (2M+NA)+							2438	2569			4385	3475				4382		
O-PHOSPHO-DL-SERINE (CAS# 17885-08-4); (M+H)+	67106			64714	56472	83896	65009		71744		55793	57951			74029	79704	71908	72436
O-PHOSPHOSERINE (CAS# 407-41-0); (M+H)+	67106			64714	56472	82462	65009		71744		55793	57951			74029	79704	71908	72436
O-SUCCINYL-L-HOMOSERINE (CAS# 1492-23-5); (M+H)+									12936					1824				
OLEAMIDE (CAS# 301-02-0); (M+H)+			1142														1706	
OLEIC ACID (CAS# 112-80-1); (M+H)+																1046		
OLEIC ACID (CAS# 112-80-1); (M+NA)+	601224	316736	481524	541207	371199	630789	52450	449723	486022	581420	784217	27713	19620	502242	389288	633925	388997	539823
OMEPRAZOLE (CAS# 73590-58-6); (M+H)+	35457	3250	6428	2103														
OPHTHALMIC ACID (CAS# 495-27-2); (M+H)+	2887035	2713325	2464889	4343737	3992502	3126652	2972006	3050050	2966253	2561799	2337760	2541085	1894912	2261067	1850830	1411800	1264636	1264409
OXIDIZED GLUTATHIONE (CAS# 27025-41-8); (M+2H)+2	14200000	14200000	15700000	13000000	9239662	10600000	9661936	9063916	8569482	9997338	11900000	12300000	12200000	13100000	14200000	13000000	12600000	12700000
OXIDIZED GLUTATHIONE (CAS# 27025-41-8); (M+H)+	9320334	8942590	9604090	6806620	4742931	6046585	5621963	5213739	4663463	6293702	7579914	7459175	6957153	7777564	8203404	8022557	6847254	6798811
PALATINOSE (CAS# 343336-76-5); (M+NA)+	3716	1753	4513		6866		39307	6781	8621		8059	8637	20852		20476	6664	4426	7918
PALMITOYLCARNITINE (CAS# 2364-67-2); (M+H)+	184087	238488	225629	347461	292172	321981	103251	106393	74725	222729	219414	209485	431358	1183013	596493	145050	107064	106504
PALMITOYLCARNITINE (CAS# 2364-67-2); (M+NA)+	131400	185674	164887	264572	221399	235226	80642	81120	55551	156700	156233	137332	342137	908086	454597	105006	78824	77985
PANTOTHENATE (CAS# 79-83-4); (M+H)+	1996725	2199977	1832680	1904087	1698148	1368352	2892279	2888271	2447548	2359889	2393905	2160920	2021767	2286167	1834218	3324324	2677690	2627192
PANTOTHENATE (CAS# 79-83-4); (M+NA)+	3167181	3517048	2958532	2951726	2647409	2017443	4271198	4374818	3729456	3513903	3643104	3255185	3187138	3554849	2898059	4829596	4066488	3954507
PARAXANTHINE (CAS# 611-59-6); (M+NA)+	23955	22149	22931	29886			54064		45037		36357	26848	45815	38398		12881	34179	
PHENETHYLAMINE (CAS# 64-04-0); (M+H)+	7913													15753				
PHENYLALANINE (CAS# 63-91-2); (M+H)+	26900000	28900000	26100000	23500000	21400000	17000000	23800000	25700000	23900000	22200000	22300000	21100000	25300000	25100000	23900000	23400000	20900000	21500000
PHENYLALANINE (CAS# 63-91-2); (M+NA)+	411314	368344	413537	387245	363790	336009	422391	410206	423645	391141	392708	376267	377520	329551	419462	363725	355456	356493
PHOSPHOCREATINE (CAS# 67-07-2); (M+H)+	520012	431258	575759	741182	574854	965042			693831	656416		433437	347974	339154	425540			
PHTHALATE (CAS# 88-99-3); (M+NA)+			5693		4159					11020	14121	6858	28258	18304	8406	1811		
PHYLLOQUINONE (CAS# 84-80-0); (M+H)+			11361		9763					7554					53796			
PICOLINIC ACID (CAS# 98-98-6); (M+H)+	75357	28726	515796	337898	287284		636248	607746	734008	484956	532405	537842	2859	557465	588823	498611	420588	553720
PINITOL (CAS# 10284-63-6); (M+NA)+	5212	6211	14929	20479	17671	12176		27616		4682	3535	7301				6475	2818	6345
PIPECOLATE (CAS# 535-75-1); (M+H)+	34867	35640	43305	53432	46465	41856	32902	29274	32729	27712	29828	27767	41105	32631	41566	25033	36168	33033
PIPECOLATE (CAS# 535-75-1); (M+NA)+		30460	28184	32569	28728	23300	32743	34347	35501		25504	36696		21284		18567	25735	33140
PORPHOBILINOGEN (CAS# 487-90-1); (M+NA)+	2107															2899		
PROCOLLAGEN 5-HYDROXY-L-LYSINE (CAS# 1190-94-9); (M+H)+	2464	2330	2375			1925								1035			2000	
PROCOLLAGEN 5-HYDROXY-L-LYSINE (CAS# 1190-94-9); (M+NA)+		2417											1842					
PROGESTERONE (CAS# 57-83-0); (M+H)+					1325	1388	1527								1123			
PROLINE (CAS# 147-85-3); (M+H)+	2242767	2145231	1998373	1874565	1555260	1396040	2009663	2140959	2351755	1448865	1477894	1384638	1423355	1346006	1392056	2416235	2773607	2713753
PROLINE (CAS# 147-85-3); (M+NA)+												1715						
PROSTAGLANDIN E2 (CAS# 363-24-6); (M+NA)+		4976	4493	3151		2560	1366	1921	1702	4805			1007	5359	2874	4207		2794
PTERIN (CAS# 2236-60-4); (M+H)+							1783								2879			
PURINE (CAS# 120-73-0); (M+H)+											1289							
PYRIDOXAL (CAS# 66-72-8); (M+H)+		23934			20789	19122	22283	19585	24792	16391	23827	21560		21729		24980	24518	20250
PYRIDOXAL (CAS# 66-72-8); (M+H)+[-H2O]				19198											30844		12656	23677
PYRIDOXAL PHOSPHATE (CAS# 853645-22-4); (M+H)+	78330	77985	68719	54615	55733	36958	51647	51785	49199	56779	48611	54515	52322	66031	52396	54758	41849	41573
PYRIDOXINE (CAS# 65-23-6); (M+H)+	1028762	1037720	970041	807114	782607	578491	1087432	1097007	1029636	968030	1169572	1188525	1080399	1106228	1015094	926835	713384	849211
QUINATE (CAS# 77-95-2); (M+NA)+														1785				
QUINOLIN-2-OL (CAS# 59-31-4); (M+NA)+											1988						1180	
RAC-GLYCEROL 1-MYRISTATE (CAS# 75685-84-6); (M+NA)+	52702	42135	64529	59250	49714	77923	50484	56085	54606	82480	54393	70162	71638	44526		47078	52357	67826
RAFFINOSE (CAS# 512-69-6); (M+K)+	20408	19072	13420	16602	15716	13816	65909	41528	53151	21928	25066	18125	56264	39676	44752	39043	23722	24518
RAFFINOSE (CAS# 512-69-6); (M+NA)+	7538	7084	5084		7518	3774	40338		29976				26515	16430	22623			
RIBOFLAVIN (CAS# 83-88-5); (M+H)+	14908	8942	7001	5103	4210	3151	7804	7542	9206	10104	8131	8297	7918	9523	8365	9065	5151	6082
RIBOFLAVIN (CAS# 83-88-5); (M+NA)+	38471	22992	17856	11954	9166	8041	23904	22525	21082	24535	27513	25677	23065	25630	23936	25018	16176	17459
S-ADENOSYL-L-HOMOCYSTEINE (CAS# 979-92-0); (M+H)+	251067	244521	200345		141504	100089	88249	90320	77723	237889	163566	172920	154709	184921	116187		97806	99131
S-ADENOSYLMETHIONINE (CAS# 29908-03-0); (M+H)+	100303	115937	77852	78131	77474	211589	76955	41705	337285	128963	67374	92404	79505	52895	222832	50707	50226	56674
SALICYLAMIDE (CAS# 65-45-2); (M+H)+			3190															
SARCOSINE (CAS# 107-97-1); (M+H)+	118301	127859	119151	150762	135526	116623	82821	69121	96690	119783	124469		124100			103850	112517	83808
